"","Price","Days_on_Market","Number_of_Bedrooms","Number_of_Bathrooms","Building_Type","Rental_Size","Pet_Friendliness"
"187",2975,213,2,1,"Apartment",850,"Yes"
"188",2699,224,1,1,"Apartment",986,"Yes"
"190",1805,210,0,1,"Apartment",390,"Limited"
"203",2799,210,2,1,"Apartment",1000,"Yes"
"204",2950,210,3,1,"Apartment",1200,"No"
"205",2799,210,2,1,"Apartment",1000,"Yes"
"208",2639,210,1,1,"Apartment",746,"Yes"
"211",2950,210,1,1,"Apartment",809,"Yes"
"212",3199,210,2,1,"Apartment",948,"Yes"
"213",2595,210,1,1,"Apartment",655,"Yes"
"214",2940,210,2,1,"Apartment",855,"Yes"
"215",2000,210,1,1,"Basement",730,"No"
"222",2150,210,1,1,"Apartment",700,"Yes"
"228",2485,210,2,1,"Apartment",680,"Limited"
"232",2519,218,1,1,"Apartment",665,"Limited"
"233",2300,218,1,1,"Apartment",680,"Yes"
"236",1900,210,1,1,"Basement",750,"No"
"237",2485,210,2,1,"Apartment",680,"Limited"
"241",2300,210,2,1,"Basement",900,"No"
"243",2200,210,1,1,"Apartment",700,"Yes"
"246",2500,210,2,1,"Apartment",1000,"Yes"
"247",1800,210,1,1,"Basement",800,"Limited"
"252",1400,210,1,1,"Basement",450,"Limited"
"254",1450,210,1,1,"Apartment",300,"No"
"256",3250,210,2,1,"Apartment",800,"Yes"
"257",2750,210,2,1,"House",780,"Limited"
"258",2500,210,2,1,"Apartment",1100,"Yes"
"259",2500,210,1,1,"Apartment",700,"No"
"267",2396,210,1,1,"Apartment",521,"Yes"
"273",2600,210,1,1,"Apartment",616,"Limited"
"274",2220,210,0,1,"Apartment",612,"Limited"
"275",3081,210,2,1,"Apartment",1050,"Limited"
"276",2376,210,1,1,"Apartment",715,"Limited"
"281",2819,221,2,1,"Apartment",904,"Yes"
"282",2699,224,2,1,"Apartment",986,"Yes"
"283",1450,210,1,1,"House",700,"No"
"286",3648,210,3,1.5,"Apartment",923,"Yes"
"287",3297,210,2,1.5,"Apartment",910,"Yes"
"288",2693,210,1,1,"Apartment",630,"Yes"
"293",1900,210,1,1,"Basement",750,"No"
"295",2250,210,2,1,"Apartment",700,"No"
"298",2595,210,1,1,"Apartment",729,"Yes"
"299",2199,210,1,1,"Apartment",650,"Yes"
"301",3255,210,1,1,"Apartment",878,"Yes"
"302",1600,210,2,1,"Basement",800,"Limited"
"303",400,210,0,1,"Apartment",683,"Yes"
"308",2000,210,0,1,"Apartment",445,"Yes"
"309",2434,210,1,1,"Apartment",572,"No"
"310",2650,210,2,2,"Apartment",750,"Limited"
"312",2295,210,1,1,"Apartment",659,"No"
"313",2229,210,1,1,"Apartment",640,"Yes"
"314",1949,210,0,1,"Apartment",370,"Yes"
"315",3136,210,2,1.5,"Apartment",1020,"Yes"
"323",2975,213,2,1,"Apartment",850,"Yes"
"324",1895,210,1,1,"Apartment",470,"Limited"
"327",2600,212,2,1,"Apartment",700,"No"
"328",2299,219,1,1,"Apartment",490,"Yes"
"329",3800,210,2,2,"Apartment",685,"Limited"
"330",2079,210,0,1,"Apartment",399,"Yes"
"331",2329,210,1,1,"Apartment",681,"Yes"
"332",2309,210,1,1,"Apartment",626,"Yes"
"334",2400,210,1,1,"Basement",650,"No"
"335",2295,210,1,1,"Apartment",580,"Yes"
"336",1600,211,0,1,"Basement",250,"No"
"344",1250,211,0,1,"Apartment",250,"No"
"347",1500,211,1,1,"Basement",600,"No"
"349",2000,211,1,1,"Apartment",800,"Limited"
"352",2097,211,0,1,"Apartment",400,"Yes"
"353",2647,211,1,1,"Apartment",758,"Yes"
"354",2100,211,2,1,"Basement",1000,"No"
"355",1900,211,1,1,"Basement",650,"Limited"
"357",2395,211,1,1,"Apartment",439,"Yes"
"358",2475,211,1,1,"Apartment",535,"Yes"
"360",1050,211,0,1,"Apartment",400,"No"
"362",1700,211,0,1,"Basement",600,"Limited"
"363",2799,211,2,1,"Apartment",859,"No"
"364",3216,211,3,2,"Apartment",1063,"No"
"365",1898,211,0,1,"Apartment",443,"No"
"368",2905,211,1,1,"Apartment",726,"Yes"
"369",2899,220,2,1,"Apartment",950,"Yes"
"372",3070,220,2,1,"Apartment",861,"Yes"
"376",2610,211,1,1,"Apartment",501,"Yes"
"377",2287,211,1,1,"Apartment",555,"Yes"
"378",3845,211,3,2,"Apartment",965,"Yes"
"379",3460,211,2,2,"Apartment",798,"Yes"
"380",3135,211,2,2,"Apartment",924,"Yes"
"381",2995,211,0,1,"Apartment",303,"Yes"
"383",2695,211,1,1,"Apartment",535,"Yes"
"384",2395,211,0,1,"Apartment",423,"No"
"385",2193,211,0,1,"Apartment",326,"Yes"
"386",3795,211,3,1.5,"Apartment",1000,"Yes"
"388",1800,211,1,1,"Apartment",450,"Yes"
"389",1800,211,1,1,"Duplex/Triplex",300,"No"
"390",1350,211,1,1,"Basement",500,"No"
"393",2350,211,2,1,"Apartment",632,"Limited"
"402",2197,211,1,1,"Apartment",656,"Limited"
"403",1841,211,0,1,"Apartment",450,"Limited"
"404",2349,211,1,1,"Apartment",611,"No"
"405",2649,211,1,1,"Apartment",740,"No"
"406",2832,211,2,1,"Apartment",933,"No"
"407",2647,211,2,1,"Apartment",931,"No"
"408",1850,211,1,1,"Basement",800,"No"
"409",2248,211,1,1,"Apartment",713,"No"
"410",1970,211,0,1,"Apartment",373,"No"
"411",2697,211,2,1,"Apartment",937,"No"
"412",2720,211,2,1,"Apartment",1064,"No"
"413",2891,211,2,1,"Apartment",1054,"No"
"414",2908,211,2,1,"Apartment",853,"No"
"417",2975,213,2,1,"Apartment",850,"Yes"
"420",3347,211,2,1,"Apartment",900,"Yes"
"421",1818,211,0,1,"Apartment",419,"No"
"422",2499,211,1,1,"Apartment",760,"No"
"423",2887,211,2,1,"Apartment",903,"No"
"424",2699,210,2,1,"Apartment",1005,"Yes"
"425",2149,211,1,1,"Apartment",720,"Yes"
"426",2437,211,1,1,"Apartment",592,"No"
"427",2338,211,1,1,"Apartment",632,"No"
"428",2490,211,2,1,"Apartment",800,"No"
"429",2724,211,2,1,"Apartment",835,"No"
"430",3286,211,3,1,"Apartment",1064,"No"
"431",2650,211,2,1,"Apartment",882,"No"
"432",2363,211,1,1,"Apartment",578,"No"
"433",2752,211,2,1,"Apartment",1109,"No"
"434",1779,211,0,1,"Apartment",551,"No"
"435",2149,211,2,1,"Apartment",879,"Yes"
"436",1849,211,1,1,"Apartment",676,"Yes"
"437",2693,211,1,1,"Apartment",625,"No"
"438",2999,211,2,1,"Apartment",870,"No"
"439",1805,211,0,1,"Apartment",246,"No"
"440",2199,211,1,1,"Apartment",675,"No"
"442",2379,211,1,1,"Apartment",630,"No"
